Time,H1,T1
428,50.0,43.51049999999999
429,50.0,43.8328
430,50.0,44.1551
431,50.0,44.1551
432,50.0,44.477399999999996
433,50.0,44.799699999999994
434,50.0,44.799699999999994
435,50.0,45.122
436,50.0,45.4443
437,50.0,45.4443
438,50.0,45.7666
439,50.0,45.7666
440,50.0,46.088899999999995
441,50.0,46.411199999999994
442,50.0,46.411199999999994
443,50.0,46.411199999999994
444,50.0,46.7335
445,50.0,46.7335
446,50.0,47.0558
447,50.0,47.0558
448,50.0,47.0558
449,50.0,47.378099999999996
450,50.0,47.700399999999995
451,50.0,47.700399999999995
452,50.0,47.700399999999995
453,50.0,47.700399999999995
454,50.0,48.02269999999999
455,50.0,48.02269999999999
456,50.0,48.02269999999999
457,50.0,48.345
458,50.0,48.345
459,50.0,48.345
460,50.0,48.6673
461,50.0,48.6673
462,50.0,48.6673
463,50.0,48.6673
464,50.0,48.989599999999996
465,50.0,48.989599999999996
466,50.0,48.989599999999996
467,50.0,48.989599999999996
468,50.0,48.989599999999996
469,50.0,48.989599999999996
470,50.0,49.311899999999994
471,50.0,49.311899999999994
472,50.0,49.311899999999994
473,50.0,49.311899999999994
474,50.0,49.311899999999994
475,50.0,49.311899999999994
476,50.0,49.63419999999999
477,50.0,49.63419999999999
478,50.0,49.63419999999999
479,50.0,49.63419999999999
480,50.0,49.63419999999999
481,50.0,49.63419999999999
482,50.0,49.63419999999999
483,50.0,49.63419999999999
484,50.0,49.9565
485,50.0,49.9565
486,50.0,49.9565
487,50.0,49.9565
488,50.0,49.9565
489,50.0,49.9565
490,50.0,49.9565
491,50.0,49.9565
492,50.0,49.9565
493,50.0,49.9565
494,50.0,49.9565
495,50.0,50.2788
496,50.0,50.2788
497,50.0,50.2788
498,50.0,50.2788
499,50.0,50.2788
500,50.0,50.2788
501,50.0,50.2788
502,50.0,50.2788
503,50.0,50.2788
504,50.0,50.2788
505,50.0,50.2788
506,50.0,50.2788
507,50.0,50.2788
508,50.0,50.2788
